# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jan 11 04:18:35 2023
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_impact,koi_impact_err1,koi_impact_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_kepmag
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1.0000,0.2580,0.1960,-0.2580,2.85,2.600e-01,-1.500e-01,678.0,,,15.784
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.0440,0.3600,-0.0440,1.58,1.300e-01,-1.600e-01,1066.0,,,15.269
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1.0000,0.0920,0.3690,-0.0920,2.55,1.600e-01,-2.400e-01,919.0,,,15.416
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.9800,0.2260,0.2430,-0.2260,1.70,1.100e-01,-1.600e-01,1018.0,,,15.416
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.9710,0.0250,0.4250,-0.0250,1.30,9.000e-02,-1.200e-01,800.0,,,15.416
25,2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,0.9765,0.0497,-0.0268,41.50,1.680e+00,-1.680e+00,297.0,,,12.394
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1.0000,0.8960,0.0100,-0.6630,2.95,1.200e-01,-2.300e-01,530.0,,,15.377
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1.0000,0.7100,0.0060,-0.5330,2.78,5.200e-01,-2.300e-01,917.0,,,15.861
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1.0000,0.4240,0.1120,-0.3560,2.30,5.800e-01,-1.900e-01,1012.0,,,15.356
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.8600,0.0420,-0.1250,4.53,1.010e+00,-4.400e-01,1452.0,,,15.525
30,11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.7010,0.0040,-0.0050,14.14,2.130e+00,-7.100e-01,196.0,,,15.207
31,11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.2480,6.9120,-0.0670,39.87,1.279e+01,-5.480e+00,505.0,,,15.250
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1.0000,0.4680,0.4610,-0.2670,2.82,3.700e-01,-3.400e-01,529.0,,,15.172
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.9920,0.0450,0.3370,-0.0450,3.86,1.500e-01,-3.300e-01,439.0,,,15.841
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1.0000,0.1050,0.3290,-0.1050,2.65,1.000e-01,-2.300e-01,823.0,,,15.841
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1.0000,0.7990,0.0970,-0.5510,3.10,3.400e-01,-3.100e-01,593.0,,,15.390
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,1.0000,0.0210,0.4020,-0.0210,3.36,7.600e-01,-3.300e-01,506.0,,,15.082
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,0.9780,0.6060,0.3350,-0.4000,2.12,4.800e-01,-2.100e-01,359.0,,,15.082
38,11138155,K00760.01,,CANDIDATE,CANDIDATE,1.0000,0.8310,0.0160,-0.0040,12.21,1.960e+00,-1.460e+00,1103.0,,,15.263
39,11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.0160,3.9670,-0.0590,6.54,1.640e+00,-7.500e-01,1222.0,,,15.540
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,1.0000,0.3120,0.1540,-0.3120,2.10,6.500e-01,-2.200e-01,1133.0,,,15.395
41,11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.7230,0.0100,-0.0200,12.42,3.920e+00,-1.690e+00,730.0,,,15.536
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,1.0000,0.7870,0.0050,-0.5650,2.94,4.300e-01,-3.800e-01,1093.0,,,12.791
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,0.9980,0.3550,0.0400,-0.3550,5.50,1.570e+00,-9.600e-01,516.0,,,15.400
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,1.0000,0.0230,0.4230,-0.0230,2.52,5.400e-01,-2.400e-01,790.0,,,15.317
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,1.0000,0.5970,0.2350,-0.3670,4.43,1.440e+00,-5.100e-01,1243.0,,,15.506
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,1.0000,0.1050,0.2640,-0.1190,12.21,1.620e+00,-8.700e-01,1219.0,,,15.052
47,11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.8120,0.0060,-0.0090,7.34,9.000e-01,-6.000e-01,430.0,,,15.716
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,1.0000,0.1510,0.3040,-0.1510,1.89,5.400e-01,-2.000e-01,1147.0,,,15.242
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,1.0000,0.4050,0.0410,-0.4050,3.25,4.700e-01,-2.500e-01,1104.0,,,15.367
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,1.0000,0.9110,0.0090,-0.6560,3.95,5.700e-01,-3.100e-01,806.0,,,15.367
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,1.0000,0.6020,0.2500,-0.3960,3.07,4.100e-01,-2.200e-01,489.0,,,15.234
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,1.0000,0.8660,0.0150,-0.6210,2.64,4.000e-01,-2.700e-01,785.0,,,12.882
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,1.0000,0.8980,0.0130,-0.6990,1.79,2.600e-01,-2.300e-01,997.0,,,12.791
54,11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0.0140,0.1370,0.3460,-0.2240,15.03,4.730e+00,-1.580e+00,967.0,,,15.270
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,1.0000,0.0010,0.4370,-0.0010,2.00,9.000e-02,-1.000e-01,433.0,,,15.095
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,1.0000,0.0410,0.4090,-0.0410,2.16,9.000e-02,-1.100e-01,553.0,,,15.095
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,1.0000,0.0280,0.4370,-0.0280,1.99,9.000e-02,-9.000e-02,332.0,,,15.095
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,1.0000,0.5580,0.1300,-0.1490,6.02,1.220e+00,-5.200e-01,1023.0,,,15.523
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,0.9990,0.9110,5.5670,-0.1180,7.51,1.120e+00,-9.100e-01,467.0,,,15.487
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,1.0000,0.9150,0.0090,-0.6300,1.99,1.000e-01,-1.200e-01,822.0,,,15.135
61,11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.3240,0.0610,-0.0750,11.23,2.920e+00,-1.950e+00,833.0,,,15.562
62,11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,1.0000,0.2800,0.1890,-0.2800,2.34,1.700e-01,-9.000e-02,1070.0,,,15.334
63,11918099,K00780.02,,CANDIDATE,CANDIDATE,0.9930,1.1980,49.8500,-0.2580,19.45,1.400e+00,-7.100e-01,734.0,,,15.334
64,9579641,K00115.03,,CANDIDATE,CANDIDATE,0.8710,0.6240,0.0370,-0.4760,0.55,8.000e-02,-7.000e-02,1272.0,,,12.791
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,1.0000,0.6790,0.1870,-0.4700,2.65,2.100e-01,-2.900e-01,396.0,,,15.937
66,11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,1.0000,0.3900,0.0650,-0.3060,5.31,1.500e+00,-8.100e-01,1015.0,,,15.312
67,12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,1.0000,0.5470,0.0520,-0.2290,4.86,1.050e+00,-3.700e-01,833.0,,,15.080
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,1.0000,0.0310,0.3600,-0.0310,1.93,1.000e-01,-1.200e-01,393.0,,,15.385
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,1.0000,0.6280,0.0030,-0.4780,1.91,1.000e-01,-1.200e-01,488.0,,,15.385
70,12070811,K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,1.0000,0.8830,0.0330,-0.6400,2.66,5.400e-01,-2.300e-01,677.0,,,15.505
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,0.9980,0.8520,0.0390,-0.5850,2.87,4.300e-01,-3.000e-01,531.0,,,12.882
72,3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.2130,11.2800,-0.1410,21.55,3.540e+00,-1.890e+00,1032.0,,,15.629
73,3246984,K00799.01,,FALSE POSITIVE,FALSE POSITIVE,0.7730,1.2600,4.8270,-0.0430,32.43,9.000e+00,-4.830e+00,1547.0,,,15.279
74,3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,1.0000,0.0230,0.4050,-0.0230,3.12,1.020e+00,-3.400e-01,1420.0,,,15.541
75,3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,1.0000,0.0120,0.3940,-0.0120,3.32,1.090e+00,-3.600e-01,1025.0,,,15.541
76,12459725,K00789.01,,FALSE POSITIVE,FALSE POSITIVE,,0.1601,0.2975,-0.1600,1.88,7.100e-01,-1.400e-01,711.0,,,15.727
77,12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,1.0000,0.0220,0.3780,-0.0220,2.59,3.700e-01,-2.200e-01,751.0,,,15.339
78,12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,0.9890,0.0940,0.3590,-0.0940,2.36,3.400e-01,-2.000e-01,390.0,,,15.339
79,12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,1.0000,0.5500,0.0650,-0.1280,7.40,2.200e+00,-7.300e-01,753.0,,,15.140
80,2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.2680,5.6520,-0.1230,46.58,8.010e+00,-8.000e+00,1920.0,,,15.122
81,2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.2150,59.5200,-0.4630,28.59,8.610e+00,-3.690e+00,876.0,,,15.065
82,2713049,K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,1.0000,0.2380,0.1980,-0.2380,2.06,2.900e-01,-2.800e-01,1332.0,,,15.026
83,3114167,K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,1.0000,0.8380,0.0830,-0.5890,2.77,4.600e-01,-1.500e-01,812.0,,,15.591
84,3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.2580,0.3340,-0.1410,27.51,3.460e+00,-1.730e+00,1836.0,,,15.748
85,3115833,K00797.01,,CANDIDATE,CANDIDATE,1.0000,0.9200,0.0070,-0.0050,7.73,2.170e+00,-7.200e-01,812.0,,,15.657
86,4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,1.0000,0.5560,0.3230,-0.3680,1.96,1.300e-01,-1.600e-01,361.0,,,15.954
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,1.0000,0.0130,0.4150,-0.0130,1.83,1.200e-01,-1.500e-01,273.0,,,15.954
88,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,0.9520,0.9500,0.0040,-0.6600,1.31,2.000e-01,-1.300e-01,649.0,,,12.882
89,4139816,K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,0.9940,0.7080,0.2340,-0.4870,1.20,8.000e-02,-1.000e-01,494.0,,,15.954
90,4275191,K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,1.0000,0.5240,0.0690,-0.2370,7.34,1.530e+00,-6.500e-01,1005.0,,,15.725
91,4476123,K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,0.9990,0.4000,0.0660,-0.4000,2.32,3.800e-01,-1.600e-01,536.0,,,15.583
92,3351888,K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,1.0000,0.0760,0.0220,-0.0760,9.73,1.410e+00,-1.420e+00,1579.0,,,15.001
93,3453214,K00802.01,,CANDIDATE,CANDIDATE,1.0000,0.4580,0.0800,-0.1650,13.60,1.820e+00,-9.200e-01,643.0,,,15.562
94,3554600,K00803.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.1750,33.6300,-0.9110,17.47,4.120e+00,-1.650e+00,838.0,,,15.559
95,3641726,K00804.01,Kepler-1727 b,CONFIRMED,CANDIDATE,1.0000,0.0240,0.4010,-0.0240,2.57,4.400e-01,-2.600e-01,757.0,,,15.387
96,3734868,K00805.01,,FALSE POSITIVE,FALSE POSITIVE,0.0530,0.2810,0.0400,-0.0640,13.28,3.640e+00,-2.410e+00,843.0,,,15.646
97,3832474,K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,1.0000,0.3790,0.0730,-0.2730,8.90,8.200e-01,-3.800e-01,308.0,,,15.403
98,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,0.9500,0.6460,0.3230,-0.4300,0.79,1.300e-01,-8.000e-02,1021.0,,,12.882
99,3832474,K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,0.7450,0.2240,0.0670,-0.1460,12.19,1.110e+00,-5.200e-01,411.0,,,15.403
100,3832474,K00806.03,Kepler-30 b,CONFIRMED,CANDIDATE,,0.3619,0.0945,-0.3618,1.91,2.000e-01,-7.000e-02,524.0,,,15.403
101,3836375,K00807.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.2250,6.8130,-0.1010,25.69,7.440e+00,-2.330e+00,1470.0,,,15.974
102,3838486,K00808.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.0140,0.3340,-0.0140,1.70,1.000e-01,-1.500e-01,918.0,,,15.842
103,3935914,K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,1.0000,0.5140,0.0220,-0.0370,11.30,3.090e+00,-1.330e+00,1539.0,,,15.530
104,3940418,K00810.01,Kepler-1728 b,CONFIRMED,CANDIDATE,1.0000,0.0030,0.4250,-0.0030,2.50,3.400e-01,-1.900e-01,886.0,,,15.119
105,4049131,K00811.01,Kepler-687 b,CONFIRMED,CANDIDATE,1.0000,0.2600,0.1510,-0.2600,3.41,2.800e-01,-3.100e-01,518.0,,,15.398
106,4139816,K00812.01,Kepler-235 b,CONFIRMED,CANDIDATE,1.0000,0.4660,0.0020,-0.4370,2.03,1.300e-01,-1.700e-01,656.0,,,15.954
107,5287983,K00828.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.2550,16.5000,-0.3490,30.26,9.570e+00,-3.190e+00,1326.0,,,15.555
108,5358241,K00829.01,Kepler-53 b,CONFIRMED,CANDIDATE,1.0000,0.0800,0.3290,-0.0800,3.12,4.700e-01,-2.800e-01,701.0,,,15.386
109,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,1.0000,0.5290,0.0210,-0.4600,1.70,8.000e-02,-5.000e-02,1262.0,,,12.487
110,5358241,K00829.02,Kepler-53 d,CONFIRMED,CANDIDATE,0.9980,0.9490,0.0280,-0.6730,2.76,4.300e-01,-2.400e-01,870.0,,,15.386
111,5358241,K00829.03,Kepler-53 c,CONFIRMED,CANDIDATE,1.0000,0.9110,0.0250,-0.6630,4.02,6.200e-01,-3.600e-01,550.0,,,15.386
112,5358624,K00830.01,Kepler-428 b,CONFIRMED,CANDIDATE,0.9900,0.1200,0.0060,-0.0840,11.58,9.000e-01,-4.800e-01,975.0,,,15.224
113,4544670,K00815.01,,CANDIDATE,CANDIDATE,1.0000,0.9340,0.5750,-0.0310,7.61,1.720e+00,-9.100e-01,511.0,,,15.684
114,4664847,K00816.01,Kepler-690 b,CONFIRMED,CANDIDATE,1.0000,0.5170,0.2370,-0.3250,5.52,1.700e+00,-5.600e-01,964.0,,,15.670
115,4725681,K00817.01,Kepler-236 c,CONFIRMED,CANDIDATE,1.0000,0.4160,0.0530,-0.4160,1.80,1.000e-01,-1.500e-01,329.0,,,15.414
116,4725681,K00817.02,Kepler-236 b,CONFIRMED,CANDIDATE,0.9950,0.8880,0.0620,-0.6120,1.82,1.000e-01,-1.500e-01,469.0,,,15.414
117,4913852,K00818.01,Kepler-691 b,CONFIRMED,CANDIDATE,1.0000,0.5730,0.0000,-0.4680,2.10,1.400e-01,-1.600e-01,460.0,,,15.877
118,4932348,K00819.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.5010,0.0030,-0.0050,27.50,5.280e+00,-2.270e+00,500.0,,,15.472
119,4936180,K00820.01,,CANDIDATE,CANDIDATE,0.0000,1.2800,0.0980,-0.0700,30.09,5.790e+00,-3.140e+00,1155.0,,,15.270
120,11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.1210,1.1040,-0.0350,13.65,3.110e+00,-1.040e+00,1031.0,,,13.496
121,10875245,K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE,0.9920,0.1730,0.2620,-0.1730,2.89,1.300e-01,-1.000e-01,874.0,,,12.487
122,5021899,K00821.01,Kepler-692 b,CONFIRMED,CANDIDATE,1.0000,0.0530,0.3940,-0.0530,3.38,9.100e-01,-4.900e-01,639.0,,,15.540
123,5077629,K00822.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.7330,0.0100,-0.0110,10.34,2.590e+00,-8.700e-01,814.0,,,15.805
124,5115978,K00823.01,,CANDIDATE,CANDIDATE,,1.5734,0.2599,-0.3164,72.77,2.771e+01,-8.600e+00,1947.0,,,15.202
125,5164255,K00824.01,Kepler-693 b,CONFIRMED,CANDIDATE,1.0000,0.6920,0.0330,-0.0660,11.01,4.400e-01,-8.200e-01,600.0,,,16.422
126,5252423,K00825.01,Kepler-237 c,CONFIRMED,CANDIDATE,1.0000,0.0470,0.4090,-0.0470,2.11,1.800e-01,-2.000e-01,687.0,,,15.289
127,5252423,K00825.02,Kepler-237 b,CONFIRMED,CANDIDATE,1.0000,0.2580,0.1950,-0.2580,1.46,1.200e-01,-1.400e-01,823.0,,,15.289
128,5272878,K00826.01,Kepler-694 b,CONFIRMED,CANDIDATE,1.0000,0.5240,0.0090,-0.4600,2.44,6.000e-01,-2.100e-01,914.0,,,15.090
129,5283542,K00827.01,,FALSE POSITIVE,FALSE POSITIVE,0.0370,0.9410,0.0170,-0.6180,3.86,1.320e+00,-4.400e-01,1047.0,,,15.546
130,5649215,K00839.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.2410,1.2950,-0.1350,26.25,6.900e+00,-2.470e+00,1261.0,,,15.021
131,5651104,K00840.01,Kepler-695 b,CONFIRMED,CANDIDATE,1.0000,0.7360,0.0130,-0.0240,8.99,8.000e-01,-9.900e-01,1021.0,,,15.028
132,5792202,K00841.01,Kepler-27 b,CONFIRMED,CANDIDATE,1.0000,0.7730,0.0060,-0.5430,5.00,4.900e-01,-1.800e-01,610.0,,,15.855
133,10875245,K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE,0.9980,0.7060,0.2370,-0.4940,1.06,5.000e-02,-4.000e-02,1074.0,,,12.487
134,5792202,K00841.02,Kepler-27 c,CONFIRMED,CANDIDATE,1.0000,0.7980,0.0210,-0.0430,6.50,6.400e-01,-2.300e-01,481.0,,,15.855
135,5370302,K00831.01,,FALSE POSITIVE,FALSE POSITIVE,0.0060,0.7090,0.0110,-0.0150,12.28,3.560e+00,-1.190e+00,1104.0,,,15.016
136,5372966,K00832.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.3770,0.0090,-0.0090,17.61,4.050e+00,-1.870e+00,796.0,,,15.365
137,5376067,K00833.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.2760,6.0270,-0.2140,31.44,8.940e+00,-2.960e+00,1133.0,,,15.446
138,5436502,K00834.01,Kepler-238 e,CONFIRMED,CANDIDATE,0.9990,0.0080,0.1690,-0.0080,7.89,1.380e+00,-1.520e+00,731.0,,,15.084
139,5436502,K00834.02,Kepler-238 d,CONFIRMED,CANDIDATE,0.9960,0.0140,0.3990,-0.0140,3.06,5.400e-01,-5.800e-01,888.0,,,15.084
140,5436502,K00834.03,Kepler-238 c,CONFIRMED,CANDIDATE,0.9970,0.2350,0.2040,-0.2350,2.32,4.000e-01,-4.500e-01,1146.0,,,15.084
141,5436502,K00834.04,Kepler-238 b,CONFIRMED,CANDIDATE,1.0000,0.7460,0.0530,-0.5210,1.62,2.800e-01,-3.200e-01,1642.0,,,15.084
142,10875245,K00117.03,Kepler-107 b,CONFIRMED,CANDIDATE,0.9950,0.1960,0.2420,-0.1960,1.53,7.000e-02,-5.000e-02,1458.0,,,12.487
143,5436502,K00834.05,Kepler-238 f,CONFIRMED,CANDIDATE,0.9890,0.3790,0.1110,-0.3780,2.67,4.700e-01,-5.100e-01,568.0,,,15.084
144,5456651,K00835.01,Kepler-239 b,CONFIRMED,CANDIDATE,1.0000,0.0480,0.3930,-0.0480,2.35,1.700e-01,-8.000e-02,616.0,,,15.208
145,5456651,K00835.02,Kepler-239 c,CONFIRMED,CANDIDATE,0.8780,0.7000,0.2080,-0.4960,2.37,1.700e-01,-9.000e-02,366.0,,,15.208
146,5481416,K00836.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.1780,5.6850,-0.1150,17.06,1.320e+00,-1.600e+00,1010.0,,,15.836
147,5531576,K00837.01,Kepler-240 c,CONFIRMED,CANDIDATE,1.0000,0.3000,0.1450,-0.3000,2.25,7.000e-02,-1.400e-01,696.0,,,15.660
